"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 11 20:22:43 GMT 2023","Mon Dec 11 20:22:43 GMT 2023","1","","org.example.junit5.StepTest","","org.example.junit5.StepTest","mixedTest","mixedTest()",""
"passed","Mon Dec 11 20:22:43 GMT 2023","Mon Dec 11 20:22:43 GMT 2023","28","","org.example.junit5.StepTest","","org.example.junit5.StepTest","lambdaStepTest","lambdaStepTest()",""
"passed","Mon Dec 11 20:22:43 GMT 2023","Mon Dec 11 20:22:43 GMT 2023","18","","org.example.junit5.StepTest","","org.example.junit5.StepTest","annotatedStepTest","annotatedStepTest()",""
